n_jobs	Thread_time	Process_time
1	1.753137	1.871557
2	1.668605	1.063184
3	1.643485	0.870834
4	1.286857	0.548609
5	1.243324	0.589878
6	1.315640	0.608714
7	1.240639	0.540858
8	1.255146	0.561601
9	1.276785	0.579215
10	1.274091	0.635500
11	1.300712	0.621532
12	1.253197	0.633919
13	1.317145	0.654812
14	1.249468	0.729511
15	1.270864	0.722712
16	1.309840	0.782451
17	1.275384	0.825069
18	1.298343	0.808646
19	1.278415	0.962817
20	1.271024	0.852181
21	1.239398	0.848166
22	1.292833	0.915618
23	1.247713	0.956252
24	1.205159	0.969009
